Class,Genes
Metabolic,"ACADVL, VLCAD"
multiple,"GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID"
multiple,LOR
Cancer,"CCND1, PRAD1, BCL1"
Cancer,VHL
Hematological,"VWF, F8VWF"
multiple,"EDNRB, HSCR2, ABCDS"
multiple,"SOX10, WS4"
multiple,TYR
multiple,"MITF, WS2A"
multiple,"PAX3, WS1, HUP2, CDHS"
multiple,"MITF, WS2A"
multiple,"PAX3, WS1, HUP2, CDHS"
multiple,"SNAI2, SLUG, WS2D"
Ophthamological,COL2A1
multiple,WT1
multiple,FCMD
multiple,POMT1
multiple,"RAB3GAP, WARBM1, P130"
Hematological,"VKORC1, VKOR, VKCFD2, FLJ00289"
Hematological,CYP2C9
Hematological,"F9, HEMB"
Cancer,"NF1, VRNF, WSS, NFNS"
Developmental,"NSD1, ARA267, STO"
Immunological,"TAP2, ABCB3, PSF2, RING11"
Connective tissue,"FBN1, MFS1, WMS"
Connective tissue,"ADAMTS10, WMS"
Connective tissue,"COL11A2, STL3, DFNA13"
multiple,"RECQL2, RECQ3, WRN"
Metabolic,TKT
Skeletal,EVC
Immunological,"CXCR4, D2S201E, NPY3R, WHIM"
Connective tissue,KRT13
Connective tissue,"KRT4, CYK4"
multiple,ELN
Cancer,"BRCA2, FANCD1"
Cancer,"GPC3, SDYS, SGBS1"
Cancer,"POU6F2, WTSL, WT5"
Cancer,WT1
Metabolic,"ATP7B, WND"
Immunological,"WAS, IMD2, THC"
Developmental,"MSX1, HOX7, HYD1, OFC5"
Bone,"EIF2AK3, PEK, PERK, WRS"
Cardiovascular,"PRKAG2, WPWS"
Metabolic,"WFS1, WFRS, WFS, DFNA6"
Metabolic,LIPA
Metabolic,XDH
Dermatological,XPA
Dermatological,"ERCC3, XPB"
Dermatological,"XPC, XPCC"
Dermatological,"ERCC2, EM9"
Dermatological,DDB2
Dermatological,"ERCC4, XPF"
Dermatological,"ERCC5, XPG"
Dermatological,"POLH, XPV"
Unclassified,"XIC, XCE, XIST, SXI1"
Immunological,"BTK, AGMX1, IMD1, XLA, AT"
Immunological,"FOXC2, FKHL14, MFH1"
multiple,"SOX10, WS4"
multiple,"PEX1, ZWS1"
multiple,"PEX10, NALD"
multiple,"PEX13, ZWS, NALD"
multiple,PEX14
multiple,PEX26
multiple,"PXF, HK33, D1S2223E, PEX19"
multiple,"PXR1, PEX5, PTS1R"
multiple,"ABCD3, PXMP1, PMP70"
multiple,"PXMP3, PAF1, PMP35, PEX2"
multiple,PEX16
multiple,PEX3
multiple,"HVEC, PVRL1, PVRR1, PRR1"
